,Year,State,Precipitation
0,1988,AC,1805.6999999999998
1,1988,AM,2763.875
2,1988,AP,2590.999999999999
3,1988,MA,1876.3083333333334
4,1988,MT,1397.6666666666667
5,1988,PA,2588.02
6,1988,RR,507.5
7,1988,TO,1727.3
8,1989,AC,2345.100000000001
9,1989,AM,2839.19090909091
10,1989,AP,2925.699999999999
11,1989,MA,1846.9333333333332
12,1989,MT,1328.2666666666667
13,1989,PA,2368.8533333333335
14,1989,RR,933.8000000000001
15,1989,TO,1959.4000000000003
16,1990,AC,1931.4666666666672
17,1990,AM,1761.9818181818182
18,1990,AP,2762.2
19,1990,MA,1275.925
20,1990,MT,1212.825
21,1990,PA,1924.913333333334
22,1990,TO,1014.8799999999998
23,1991,AM,2137.9999999999995
24,1991,AP,2404.7999999999984
25,1991,MA,1513.0583333333334
26,1991,MT,800.7499999999998
27,1991,PA,2204.9933333333324
28,1991,TO,1047.5399999999997
29,1992,AM,1950.2
30,1992,AP,2202.7
31,1992,MA,1118.2083333333333
32,1992,MT,614.44
33,1992,PA,1591.2857142857142
34,1992,TO,1562.0249999999999
35,1993,AC,1735.3000000000002
36,1993,AM,2640.7285714285713
37,1993,AP,2291.8999999999987
38,1993,MA,1356.1249999999998
39,1993,MT,612.0999999999999
40,1993,PA,2097.157142857143
41,1993,RR,726.4000000000001
42,1993,TO,794.7999999999997
43,1994,AC,2325.400000000001
44,1994,AM,2611.128571428572
45,1994,AP,2645.7000000000007
46,1994,MA,1825.533333333333
47,1994,MT,783.7
48,1994,PA,2512.2571428571428
49,1994,RR,1183.8999999999996
50,1994,TO,587.45
51,1995,AC,1970.1666666666672
52,1995,AM,2406.278571428572
53,1995,AP,2608.1999999999975
54,1995,MA,1728.05
55,1995,MT,1085.4399999999998
56,1995,PA,2293.8000000000006
57,1995,RR,1307.7499999999998
58,1995,TO,1653.5166666666664
59,1996,AC,2046.8666666666668
60,1996,AM,2636.2285714285713
61,1996,AP,2589.7
62,1996,MA,1802.1333333333332
63,1996,PA,2201.313333333333
64,1996,RR,2190.3500000000013
65,1996,TO,1427.266666666667
66,1997,AC,1956.8666666666668
67,1997,AM,2392.385714285715
68,1997,AP,2461.6999999999994
69,1997,MA,1366.841666666667
70,1997,MT,194.6
71,1997,PA,1890.369230769231
72,1997,RR,1295.5500000000002
73,1997,TO,1797.9499999999998
74,1998,AC,2066.366666666667
75,1998,AM,2365.8285714285716
76,1998,AP,2275.0
77,1998,MA,1260.0833333333328
78,1998,MT,1300.0909090909092
79,1998,PA,1960.0307692307688
80,1998,RR,2131.8
81,1998,TO,1369.0666666666668
82,1999,AC,2408.2999999999997
83,1999,AM,2801.1714285714284
84,1999,AP,2707.2999999999997
85,1999,MA,1747.3083333333334
86,1999,MT,1269.8272727272727
87,1999,PA,2299.0499999999997
88,1999,RR,2058.950000000001
89,1999,TO,1798.3166666666668
90,2000,AC,1996.3000000000002
91,2000,AM,2744.242857142858
92,2000,AP,2701.7999999999997
93,2000,MA,1722.033333333333
94,2000,MT,1390.5636363636365
95,2000,PA,2639.335714285714
96,2000,RR,2128.25
97,2000,TO,1874.733333333333
98,2001,AC,1989.9333333333336
99,2001,AM,2627.4
100,2001,AP,2113.8000000000006
101,2001,MA,1612.0
102,2001,MT,1525.5818181818183
103,2001,PA,2203.9785714285713
104,2001,RR,1485.65
105,2001,TO,1632.7333333333333
106,2002,AC,2150.9999999999995
107,2002,AM,2796.671428571429
108,2002,AP,2488.1000000000004
109,2002,MA,1575.5249999999999
110,2002,MT,1362.9181818181817
111,2002,PA,2111.785714285714
112,2002,RR,1819.8500000000008
113,2002,TO,1610.6166666666666
114,2003,AC,2112.433333333334
115,2003,AM,2454.192857142857
116,2003,AP,1921.2999999999997
117,2003,MA,1565.4249999999995
118,2003,MT,1633.4545454545455
119,2003,PA,2001.3933333333334
120,2003,RR,1801.750000000001
121,2003,TO,1531.016666666667
122,2004,AC,2323.433333333334
123,2004,AM,2253.515384615385
124,2004,AP,2701.2999999999993
125,2004,MA,1816.5249999999996
126,2004,MT,1705.109090909091
127,2004,PA,2242.479999999999
128,2004,RR,1963.8000000000006
129,2004,TO,1780.8
130,2005,AC,1980.3
131,2005,AM,2264.6142857142854
132,2005,AP,2591.4999999999986
133,2005,MA,1569.7166666666662
134,2005,MT,1520.690909090909
135,2005,PA,2197.3399999999997
136,2005,RR,2145.05
137,2005,TO,1799.4166666666667
138,2006,AC,2040.1333333333334
139,2006,AM,2548.2285714285713
140,2006,AP,2820.0000000000014
141,2006,MA,1736.3333333333333
142,2006,MT,1805.2181818181816
143,2006,PA,2366.066666666666
144,2006,RR,2557.9500000000007
145,2006,TO,1775.4833333333333
146,2007,AC,2139.699999999999
147,2007,AM,2466.7571428571428
148,2007,AP,2695.299999999999
149,2007,MA,1400.4499999999998
150,2007,MT,1520.5636363636365
151,2007,PA,2082.8133333333335
152,2007,RR,2334.4000000000005
153,2007,TO,1301.9000000000003
154,2008,AC,2149.2000000000003
155,2008,AM,2792.307142857143
156,2008,AP,2353.3
157,2008,MA,1871.6416666666657
158,2008,MT,1625.5818181818183
159,2008,PA,2475.7599999999998
160,2008,RR,2099.1000000000013
161,2008,TO,1765.0666666666666
162,2009,AC,2371.2666666666673
163,2009,AM,2754.9857142857145
164,2009,AP,2507.9999999999995
165,2009,MA,2119.0666666666666
166,2009,MT,1686.2818181818184
167,2009,PA,2578.98
168,2009,RR,1443.6000000000008
169,2009,TO,1794.9833333333333
170,2010,AC,1717.5333333333335
171,2010,AM,2397.9642857142853
172,2010,AP,2415.5999999999995
173,2010,MA,1363.1250000000002
174,2010,MT,1569.5454545454543
175,2010,PA,2047.5799999999997
176,2010,RR,2215.7000000000007
177,2010,TO,1538.6666666666672
178,2011,AC,1884.9333333333336
179,2011,AM,2733.3357142857144
180,2011,AP,2557.699999999999
181,2011,MA,1915.7
182,2011,MT,1653.0545454545454
183,2011,PA,2414.48
184,2011,RR,2307.3500000000004
185,2011,TO,1837.95
186,2012,AC,2331.5333333333333
187,2012,AM,2874.1857142857143
188,2012,AP,2153.3
189,2012,MA,1184.866666666666
190,2012,MT,1579.9909090909089
191,2012,PA,2055.76
192,2012,RR,1919.3500000000008
193,2012,TO,1461.0333333333328
194,2013,AC,2384.066666666666
195,2013,AM,2873.328571428571
196,2013,AP,2852.6000000000004
197,2013,MA,1448.716666666667
198,2013,MT,1859.7999999999995
199,2013,PA,2246.0599999999995
200,2013,RR,1995.650000000001
201,2013,TO,1838.8500000000004
202,2014,AC,2529.9666666666667
203,2014,AM,2662.1857142857143
204,2014,AP,2528.6999999999985
205,2014,MA,1475.9416666666668
206,2014,MT,1569.290909090909
207,2014,PA,2298.4599999999996
208,2014,RR,1301.0000000000005
209,2014,TO,1717.2833333333335
210,2015,AC,2252.6666666666665
211,2015,AM,2059.821428571429
212,2015,AP,2421.7999999999984
213,2015,MA,1090.091666666667
214,2015,MT,1395.511111111111
215,2015,PA,1827.386666666667
216,2015,RR,1294.6500000000003
217,2015,TO,1259.05
218,2016,AC,1388.433333333334
219,2016,AM,1920.3428571428574
220,2016,AP,2489.999999999998
221,2016,MA,1222.1583333333335
222,2016,MT,1373.5222222222221
223,2016,PA,2026.5399999999997
224,2016,RR,2040.6000000000004
225,2016,TO,1385.0666666666666
226,2017,AC,2355.1
227,2017,AM,2488.583333333333
228,2017,AP,2307.5
229,2017,MA,1535.5416666666667
230,2017,MT,1709.4285714285718
231,2017,PA,2243.166666666666
232,2017,RR,1631.6000000000013
233,2017,TO,1475.8666666666668
234,2018,AC,2264.8500000000004
235,2018,AM,2482.766666666667
236,2018,AP,2629.5000000000014
237,2018,MA,1596.5333333333335
238,2018,MT,1741.5142857142857
239,2018,PA,2313.14
240,2018,RR,2117.350000000001
241,2018,TO,1671.0666666666664
242,2019,AC,2626.3
243,2019,AM,2634.974999999999
244,2019,AP,2927.400000000002
245,2019,MA,1542.5833333333333
246,2019,MT,1452.685714285714
247,2019,PA,2402.52
248,2019,RR,2196.1500000000005
249,2019,TO,1316.5833333333337
